name,barcode,asset_number,serial_number,checkout_status,DSA_Notes,damage_notes
Zoom H4n Pro,39007054930102,1,C41023119,CHECKED OUT,,"Jan 12, 2023 Battery-compartment cover has slightly damaged notches"
Canon EOS M50,39007054930235,15,022040002797,CHECKED OUT,,
Zoom H4n Pro,39007054930086,2,C41019302,Available,,
Zoom H4n Pro,39007054930094,3,C41031620,CHECKED OUT,,
Blue Yeti Nano,39007054930433,1,1951FX001A19,Available,,
Zoom LiveTrak L8,39007054930516,1,C48010735,Available,,Jan 19 AC adapter missing
Sennheiser HD 280 Pro,39007054930490,4,5300955568,Available,,
"Neewer Lighting Kit (2 Lights, 2 Stands, & 2 Softboxes)",39007054930524,1,10095541,CHECKED OUT,,
Blue Yeti Nano,39007054930441,2,2015MN023599,Available,,
Zoom H4n Pro,39007054930060,5,C41023113,Available,,
Zoom H4n Pro,39007054930052,6,C41023646,Available,,
Zoom H4n Pro,39007054930037,8,C41019306,Available,,
Zoom H4n Pro,39007054930029,9,C41031618,Available,,
Zoom H4n Pro,39007054930011,10,C41020756,Available,,"Feb 7, 2023 Latch of plastic container is partially broken; container closes but doesn't lock"
"Meta Quest 2 (128 GB), VR Headset & Controllers",39007054930201,1,1WMHCL118Q1503,Available,,
"Meta Quest 2 (128 GB), VR Headset & Controllers",39007054930219,2,1WMHCLH1NA1503,Available,,"Nov 28, 2023 Broken headstrap; missing cleaning cloth"
Canon EOS M50,39007054930243,1,092030001146,CHECKED OUT,,
Canon EOS M50,39007054930250,2,092030001059,CHECKED OUT,,
Canon EOS M50,39007054930268,3,092030001142,CHECKED OUT,,(S.D.) 10.09.25 View screen doesn't close properly Leather is lifting off the bottom of the camera near the battery compartment Lens cap is clicky
Canon EOS M50,39007054930276,4,092030001058,CHECKED OUT,,
Canon EOS M50,39007054930284,5,022040002800,CHECKED OUT,,
Canon EOS M50,39007054930300,7,092030001053,CHECKED OUT,,
Canon EOS M50,39007054930318,8,022040002799,CHECKED OUT,,
Canon EOS M50,39007054930326,9,092030001144,CHECKED OUT,,"May 15, 2024 - Circle damage near Tripod mount"
"Insta360 One R (4K Edition), 4K Wide-Angle Camera",39007054930425,1,IAEAH14BRWSRX9,CHECKED OUT,,
Blue Yeti Nano,39007054930458,3,2015MN023379,Available,,
Sennheiser HD 280 Pro,39007054930474,2,5300955612,CHECKED OUT,,
Sennheiser HD 280 Pro,39007054930482,1,5300956784,CHECKED OUT,,
"Vbestlife W49, Mini Dimmable LED Light Panel",39007054930599,,,Available,,
"Vbestlife W49, Mini Dimmable LED Light Panel",39007054930581,,,CHECKED OUT,,
Rode Wireless Go,39007054930623,1,FN00377103,Available,,
Rode Wireless Go,39007054930656,4,FN00376727,CHECKED OUT,,
Rode Wireless Go,39007054930714,10,FN0037617,Available,,
